track;x;y
1;1598;526
1;1524;544
1;1441;557
1;1357;392
1;1395;573
1;1352;409
1;1415;573
1;1358;379
1;1424;557
1;1319;574
1;1279;357
1;1309;573
1;1271;372
1;1294;582
1;1144;621
1;927;665
1;839;409
1;899;665
1;728;493
1;884;665
1;1058;391
1;866;665
1;715;684
1;597;509
1;692;684
1;456;425
1;669;684
1;481;719
1;481;684
1;432;693
1;432;718
1;441;740
1;502;740
1;1598;988
1;1624;1034
3;1584;495
3;1394;531
3;1365;380
3;1404;539
3;1356;386
3;1390;542
3;1346;373
3;1378;538
3;1288;556
3;1290;378
3;1279;556
3;1264;378
3;1295;549
3;914;634
3;855;406
3;897;650
3;713;472
3;884;650
3;1040;333
3;924;650
3;707;669
3;604;480
3;697;669
3;448;387
3;678;669
3;510;702
3;494;669
3;448;678
3;448;728
3;494;742
3;525;728
3;1602;949
3;1634;999
